model,variant,quantity,n_total,last,mean_tail,std_tail,min_tail,max_tail,range_tail,abs_last_minus_mean
kw,baseline,Cd,1002,0.1102681728405046,0.11028147909008261,1.2739206495590893e-05,0.1102681728405046,0.1103116486847439,4.347584423930462e-05,1.3306249578015628e-05
kw,baseline,Cl,1002,-1.279955687731895,-1.2802110826169266,0.00018079165461398658,-1.2805706940511,-1.279955687731895,0.0006150063192049693,0.00025539488503167895
kw,refine1,Cd,3164,0.07593002376138551,0.07594380860920716,7.98205061369741e-06,0.07592847602733832,0.07595381148682212,2.533545948379956e-05,1.3784847821649016e-05
kw,refine1,Cl,3164,-1.363595745269363,-1.3633087024815953,0.00023253740075163525,-1.363595745269363,-1.362892337805929,0.0007034074634340026,0.00028704278776769954
kw,refine2,Cd,6000,0.06958119498917927,0.06991573542908353,0.0003077108541277532,0.06910200848864874,0.07024252461669508,0.0011405161280463455,0.0003345404399042601
kw,refine2,Cl,6000,-1.359594642764303,-1.361157112127512,0.0005759876943932762,-1.361775214961106,-1.359594642764303,0.002180572196802899,0.0015624693632088071
sa,baseline,Cd,800,0.1051508538938532,0.10515514418362727,8.50722386891111e-06,0.1051489249291794,0.1051804915747628,3.1566645583389064e-05,4.2902897740698664e-06
sa,baseline,Cl,800,-1.268407063340244,-1.2682547806443958,0.00010214730528265466,-1.268407063340244,-1.268046070654692,0.00036099268555189745,0.00015228269584821597
sa,refine1,Cd,2979,0.07414817296218643,0.07414562631594557,4.1984351042285276e-06,0.07413439542707695,0.07414898331479457,1.4587887717618098e-05,2.546646240858541e-06
sa,refine1,Cl,2979,-1.348663173725476,-1.3485088386991975,9.713358903501805e-05,-1.348663173725476,-1.348347663141107,0.00031551058436884993,0.00015433502627848483
sa,refine2,Cd,6000,0.05374722160425958,0.05380944949295551,2.8984519916245458e-05,0.05374722160425958,0.05384276322214802,9.55416178884394e-05,6.222788869593432e-05
sa,refine2,Cl,6000,-1.411488922202286,-1.410637895488754,0.0004940909654860162,-1.411488922202286,-1.409813424258034,0.0016754979442519247,0.0008510267135319882
